,TRADE_CODE,issue_date,stopped_date
653,RU000A100FE5,2019-06-13,
654,RU000A101GD3,2020-02-27,
655,RU000A101QL5,2020-06-01,
656,RU000A101SC0,2020-06-10,
657,RU000A101SD8,2020-06-10,
658,RU000A1038M5,2021-06-16,
659,RU000A108DE3,2024-05-03,
660,RU000A10EAM5,2026-02-17,
661,RU000A0JT403,2012-10-12,
662,RU000A0JT6B2,2012-10-18,
663,RU000A0JS4Z7,2012-03-13,
664,RU000A1042W6,2021-11-23,
665,RU000A1013P1,2019-11-26,
666,RU000A101TB0,2020-06-18,
667,RU000A1031S7,2021-04-27,
668,RU000A1031T5,2021-04-27,
669,RU000A1031U3,2021-04-27,
670,RU000A1031Z2,2021-05-07,
671,RU000A103FY7,2021-07-29,
672,RU000A10DMS9,2025-12-02,
673,RU000A105NT6,2022-12-23,
674,RU000A106YE3,2023-09-27,
675,RU000A0JXS83,2017-06-01,
676,RU000A101WD0,2020-07-15,
677,RU000A0JSGV0,2012-07-20,
678,RU000A0JXN05,2017-04-07,
679,RU000A0JXQ44,2017-04-27,
680,RU000A0JXR84,2017-05-18,
681,RU000A0JXZB2,2017-08-17,
682,RU000A0ZYU05,2018-02-20,
683,RU000A0ZZ9R4,2018-06-14,
684,RU000A1007Z2,2019-04-01,
685,RU000A1008D7,2019-04-04,
686,RU000A100HY9,2019-07-04,
687,RU000A102QP4,2021-02-08,
688,RU000A102R40,2021-02-12,
689,SMLT,2020-10-29,
690,RU000A104JQ3,2022-02-15,
691,RU000A107RZ0,2024-02-09,
692,RU000A1095L7,2024-08-06,
693,RU000A109874,2024-08-14,
694,RU000A10BFX7,2025-04-22,
695,RU000A10BW96,2025-06-27,
696,RU000A10E6U4,2026-02-03,
697,RU000A10CZA1,2025-10-03,
698,NVTK,2006-08-18,
699,ROSN,2006-07-19,
700,RU000A0JX132,2016-12-07,
701,RU000A0ZYJH7,2017-12-06,
702,RU000A0ZYJJ3,2017-12-06,
703,RU000A0ZYLG5,2017-12-21,
704,RU000A0JXQK2,2017-05-04,
705,RU000A0ZYT40,2018-02-15,
706,RU000A0ZYVU5,2018-03-02,
707,RU000A0JXXD3,2017-07-26,
708,RU000A1008P1,2019-04-05,
709,RU000A0JXXE1,2017-07-26,
710,RU000A1008Q9,2019-04-05,
711,RU000A0ZYCP5,2017-10-12,
712,RU000A100KY3,2019-07-15,
713,RU000A100YQ0,2019-10-24,
714,RU000A101SF3,2020-06-10,
715,FLOT,2020-10-07,
716,TATN,2005-01-11,
717,TATNP,2005-01-11,
718,RU000A107HR8,2023-12-28,
719,RU000A108RP9,2024-06-21,
720,RU000A109KY4,2024-09-20,
721,RU000A10B0U0,2025-03-06,
722,RU000A10C6P6,2025-07-25,
723,RU000A10D9K0,2025-10-27,
724,RU000A10D9L8,2025-10-27,
725,RU000A10EQ34,2026-03-30,
726,RU000A109PP1,2024-10-09,
727,RU000A10B263,2025-03-12,
728,RU000A10BNM4,2025-05-23,
729,RU000A10DCK7,2025-11-01,
730,RU000A1070X5,2023-10-16,
731,RU000A10DQK7,2025-12-12,
732,RU000A10BXW2,2025-07-01,
733,RU000A106JZ9,2023-07-14,
